ticker,name,held,tier,score100,action_signal,signal_reason,base_upside,reward_risk,eps_rev_1m,eps_rev_3m,pe_pct5y,thesis_status,holding_note
2359,所羅門,False,WATCH,51,WATCH,分數<65,173.0,9.9,,66.9,44.0,,
2344,華邦電,False,CYCLE,51,WATCH,分數<65、Base<20%、週期高峰,-92.0,0.0,,105.1,54.0,,
8271,宇瞻,False,CYCLE,51,WATCH,分數<65、Base<20%、週期高峰,-70.0,0.0,0,-111.7,0.0,,
8464,億豐,False,WATCH,50.5,WATCH,分數<65、Base<20%,17.0,0.9,19.8,10.0,30.0,,
2727,王品,False,WATCH,50.5,WATCH,分數<65,45.0,9.08,23.3,0.6,1.0,,
3028,增你強,False,WATCH,50.5,WATCH,分數<65,186.0,9.9,116.6,3.3,25.0,,
3037,欣興,False,WATCH,50,WATCH,分數<65、Base<20%,-16.0,0.0,0,15.1,78.0,,
3030,德律,False,WATCH,50,WATCH,分數<65、Base<20%,8.0,0.2,20.3,-7.2,76.0,,
2467,志聖,False,WATCH,50,WATCH,分數<65、Base<20%,-2.0,0.0,83.2,44.5,90.0,,
6005,群益證,False,WATCH,50,WATCH,分數<65,227.0,9.9,129.2,-42.5,5.0,,
2316,楠梓電,False,WATCH,50,WATCH,分數<65,63.0,9.9,-107.7,18.3,62.0,,
9958,世紀鋼,False,CYCLE,50,WATCH,分數<65,268.0,9.9,-57.3,53.8,0.0,,
2428,興勤,False,WATCH,49.5,WATCH,分數<65、Base<20%,16.0,0.56,111.9,35.8,93.0,,
3231,緯創,False,WATCH,49,WATCH,分數<65,102.0,9.9,41.5,-84.4,41.0,,
6781,AES-KY,False,WATCH,49,WATCH,分數<65,60.0,9.9,8.7,5.8,34.0,,
2441,超豐,False,WATCH,49,WATCH,分數<65、Base<20%,2.0,0.04,56.3,16.4,92.0,,
2382,廣達,False,WATCH,48.5,WATCH,分數<65,98.0,9.9,41.6,25.4,41.0,,
6579,研揚,False,WATCH,48,WATCH,分數<65,218.0,9.9,,26.7,27.0,,
3533,嘉澤,False,WATCH,47,WATCH,分數<65,21.0,0.86,148.6,0.4,56.0,,
5522,遠雄,False,WATCH,47,WATCH,分數<65,244.0,9.9,,304.8,5.0,,
3305,昇貿,False,WATCH,47,WATCH,分數<65,161.0,9.9,201.1,3.8,36.0,,
3416,融程電,False,WATCH,47,WATCH,分數<65,44.0,4.73,79.2,-2.9,55.0,,
2101,南港,False,CYCLE,47,WATCH,分數<65、Base<20%、週期高峰,-92.0,0.0,,-11.7,0.0,,
4766,南寶,False,WATCH,46.5,WATCH,分數<65,21.0,0.89,49.2,9.4,49.0,,
3090,日電貿,False,WATCH,46.5,WATCH,分數<65,32.0,0.88,216.9,18.4,94.0,,
3167,大量,False,WATCH,46,WATCH,分數<65,21.0,0.3,-23.2,9.6,71.0,,
4551,智伸科,False,WATCH,46,WATCH,分數<65,41.0,4.25,,10.1,62.0,,
3048,益登,False,WATCH,46,WATCH,分數<65,152.0,9.9,,38.9,44.0,,
2313,華通,False,WATCH,45.5,WATCH,分數<65、Base<20%,-55.0,0.0,45.0,7.5,93.0,,
1808,潤隆,False,WATCH,45.5,WATCH,分數<65,313.0,9.9,,20308.5,30.0,,
3029,零壹,False,WATCH,45.5,WATCH,分數<65,37.0,2.37,-8.5,32.4,56.0,,
1303,南亞,False,CYCLE,45.5,WATCH,分數<65、Base<20%、週期高峰,-84.0,0.0,,28.7,45.0,,
6239,力成,False,WATCH,45,WATCH,分數<65、Base<20%,-33.0,0.0,90.5,-7.0,89.0,,
6177,達麗,False,CYCLE,45,WATCH,分數<65、Base<20%、週期高峰,-11.0,0.0,,322.4,17.0,,
2376,技嘉,False,WATCH,44,WATCH,分數<65,112.0,6.32,54.0,-20.9,40.0,,
6526,達發,False,WATCH,44,WATCH,分數<65,30.0,1.08,12.0,7.4,42.0,,
3005,神基,False,WATCH,44,WATCH,分數<65,28.0,1.4,3.2,19.6,44.0,,
3563,牧德,False,WATCH,44,WATCH,分數<65、Base<20%,-0.0,0.0,-1.4,21.0,60.0,,
6414,樺漢,False,WATCH,44,WATCH,分數<65,41.0,3.48,57.3,34.2,68.0,,
3033,威健,False,WATCH,44,WATCH,分數<65,178.0,9.9,,47.8,35.0,,
2323,中環,False,WATCH,44,WATCH,分數<65,572.0,9.9,-145.5,13.3,1.0,,
2408,南亞科,False,CYCLE,44,WATCH,分數<65、Base<20%、週期高峰,-94.0,0.0,,-35.2,69.0,,
9937,全國,False,CYCLE,44,WATCH,分數<65,44.0,4.9,4.0,16.6,28.0,,
6214,精誠,False,WATCH,43.5,WATCH,分數<65,90.0,9.9,-14.8,34.0,33.0,,
6285,啟,False,WATCH,43,WATCH,分數<65,31.0,1.37,180.2,65.5,90.0,,
2357,華碩,False,WATCH,42,WATCH,分數<65,39.0,0.83,55.9,6.5,74.0,,
6515,穎崴,False,WATCH,42,WATCH,分數<65、Base<20%,-42.0,0.0,186.3,149.1,91.0,,
2356,英業達,False,WATCH,42,WATCH,分數<65,51.0,4.88,43.9,26.8,59.0,,
3515,華擎,False,WATCH,42,WATCH,分數<65,89.0,9.9,-32.3,61.3,35.0,,
6491,晶碩,False,WATCH,42,WATCH,分數<65,39.0,3.67,63.9,-1.5,40.0,,
2495,普安,False,WATCH,42,WATCH,分數<65,169.0,9.9,,29.1,15.0,,
2347,聯強,False,WATCH,41,WATCH,分數<65,93.0,4.95,150.0,80.0,51.0,,
2851,中再保,False,WATCH,41,WATCH,分數<65、Base<20%,9.0,0.14,208.9,-20.3,1.0,,
6901,鑽石投資,False,WATCH,41,WATCH,分數<65、Base<20%,,,,1818.4,,,
8926,台汽電,False,CYCLE,40.5,WATCH,分數<65、Base<20%、週期高峰,-21.0,0.0,-60.4,839.8,4.0,,
2542,興富發,False,WATCH,40,WATCH,分數<65,175.0,9.9,242.3,-1354.3,20.0,,
2317,鴻海,False,WATCH,39.5,WATCH,分數<65、Base<20%,12.0,0.44,17.9,20.8,83.0,,
2480,敦陽科,False,WATCH,39,WATCH,分數<65、Base<20%,15.0,0.59,7.2,8.9,72.0,,
4904,遠傳,False,WATCH,38,WATCH,分數<65、Base<20%,19.0,1.32,7.6,8.1,58.0,,
2850,新產,False,WATCH,38,WATCH,分數<65、Base<20%,-3.0,0.0,32.5,-9.7,80.0,,
1609,大亞,False,WATCH,38,WATCH,分數<65,82.0,9.9,-29.5,8.6,37.0,,
1307,三芳,False,CYCLE,38,WATCH,分數<65、Base<20%、週期高峰,-4.0,0.0,,13.5,2.0,,
3535,晶彩科,False,WATCH,37,WATCH,分數<65、Base<20%,-23.0,0.0,,-460.8,61.0,,
2891,中信金,False,WATCH,36,WATCH,分數<65、Base<20%,2.0,0.06,35.7,19.0,93.0,,
3042,晶技,False,WATCH,36,WATCH,分數<65、Base<20%,-39.0,0.0,48.3,17.3,94.0,,
1210,大成,False,WATCH,36,WATCH,分數<65,25.0,1.61,-23.6,13.4,23.0,,
6189,豐藝,False,WATCH,36,WATCH,分數<65,45.0,2.82,,10.3,38.0,,
6655,科定,False,WATCH,36,WATCH,分數<65,51.0,1.79,72.1,15.3,35.0,,
2884,玉山金,False,WATCH,35,WATCH,分數<65,29.0,2.78,26.1,-2.4,38.0,,
